nrow= 26 
 Depth: cm; SOC/POC/MOC/MBC: mgC/cm3
ID	Property	Value
1	Depth	100
2	Sand	0.32
3	Clay	0.08
4	CN_MB_mean	14.5
5	CN_MB_min	2
6	CN_MB_max	14
7	CN_EP1	3
8	CN_EP2	3
9	CN_EM	3
10	fQOM	0.05
11	SOC	10.2916666666667
12	POC	3.82431874483898
13	MOC	6.0254266446463
14	DOC	0.441921277181393
15	MBC	0.235168300710393
16	EP1	0.00013
17	EP2	0.00013
18	EM	0.00013
19	CN_SOM	17.5
20	CN_POM	26
21	CN_MOM	19
22	CN_DOM	19
23	CN_MB	14.5
24	NH4	0.0096
25	NO3	0.0042
26	rCN_LIG2LAB	2
