OBJ_Critical= 0.44053752834831 0.4251
fOBJ	LF0	r0	fRa	fINP	VP	KP1	fKM	PAR2	Qmax	Kba	Kdes	rE	pEP	fpEM	fD	gD	Vg	alpha	KD	Yg	Ygsl	Q10	gamma	beta	WPA2D	tau	wdorm	VNup_MB	KsNH4_MB	KsNO3_MB	VNif	VNit	VDenit1	fpENZN	KsNif	KsNit	KsDenit1	KsDenit2	VNup_VG	KsNH4_VG	KsNO3_VG	rNleach	bNup_VG	Qmax_NH4	Kba_NH4	Kp2u	Ku2p
0.425	0.9	0.1	0.098431	0.2	80	65.4	9.1	500	3.5	8.61	0.003304	0.00011431	0.00344287	2	0.15	0.1	0.00109111	0.2	0.00180006	0.45	0.00101391	2	4.5	0.001	0.05145225	0.39	1	0.00056178	0.001	0.001	0.071226	0.76166283	0.09990812	9.66630067	0.1	0.01	0.01	0.01	1e-05	0.01	0.00381253	0.05	0.5	1e-04	100	5e-06	0.001
0.425	0.9	0.1	0.098431	0.2	80	65.4	9.1	500	3.5	8.61	0.003304	0.00011431	0.00344287	2	0.15	0.1	0.00109111	0.2	0.00180006	0.45	0.00101391	2	4.5	0.001	0.05145225	0.39	1	0.00056178	0.001	0.001	0.071226	0.76166283	0.09990812	9.66630067	0.1	0.01	0.01	0.01	1e-05	0.01	0.00381253	0.05	0.5	1e-04	100	5e-06	0.001
0.425	0.9	0.1	0.098431	0.2	80	65.4	9.1	500	3.5	8.61	0.003304	0.00011431	0.00344287	2	0.15	0.1	0.00109111	0.2	0.00180006	0.45	0.00101391	2	4.5	0.001	0.05145225	0.39	1	0.00056178	0.001	0.001	0.071226	0.76166283	0.09990812	9.66630067	0.1	0.01	0.01	0.01	1e-05	0.01	0.00381253	0.05	0.5	1e-04	100	5e-06	0.001
0.425	0.9	0.1	0.098431	0.2	80	65.4	9.1	500	3.5	8.61	0.003304	0.00011431	0.00344287	2	0.15	0.1	0.00109111	0.2	0.00180006	0.45	0.00101391	2	4.5	0.001	0.05145225	0.39	1	0.00056178	0.001	0.001	0.071226	0.76166283	0.09990812	9.66630067	0.1	0.01	0.01	0.01	1e-05	0.01	0.00381253	0.05	0.5	1e-04	100	5e-06	0.001
0.425	0.9	0.1	0.098431	0.2	80	65.4	9.1	500	3.5	8.61	0.003304	0.00011431	0.00344287	2	0.15	0.1	0.00109111	0.2	0.00180006	0.45	0.00101391	2	4.5	0.001	0.05145225	0.39	1	0.00056178	0.001	0.001	0.071226	0.76166283	0.09990812	9.66630067	0.1	0.01	0.01	0.01	1e-05	0.01	0.00381253	0.05	0.5	1e-04	100	5e-06	0.001
0.425	0.9	0.1	0.098431	0.2	80	65.4	9.1	500	3.5	8.61	0.003304	0.00011431	0.00344287	2	0.15	0.1	0.00109111	0.2	0.00180006	0.45	0.00101391	2	4.5	0.001	0.05145225	0.39	1	0.00056178	0.001	0.001	0.071226	0.76166283	0.09990812	9.66630067	0.1	0.01	0.01	0.01	1e-05	0.01	0.00381253	0.05	0.5	1e-04	100	5e-06	0.001
0.425	0.9	0.1	0.098431	0.2	80	65.4	9.1	500	3.5	8.61	0.003304	0.00011431	0.00351206	2	0.15	0.1	0.00109111	0.2	0.00169877	0.45	0.00101391	2	4.5	0.001	0.04993197	0.39	1	0.00056178	0.001	0.001	0.071226	0.76166283	0.09990812	9.66630067	0.1	0.01	0.01	0.01	1e-05	0.01	0.00381253	0.05	0.5	1e-04	100	5e-06	0.001
0.425	0.9	0.1	0.098431	0.2	80	65.4	9.1	500	3.5	8.61	0.003304	0.00011431	0.00344287	2	0.15	0.1	0.00109111	0.2	0.00180006	0.45	0.00101391	2	4.5	0.001	0.05145225	0.39	1	0.00056178	0.001	0.001	0.071226	0.76166283	0.09990812	9.66630067	0.1	0.01	0.01	0.01	1e-05	0.01	0.00381253	0.05	0.5	1e-04	100	5e-06	0.001
0.425	0.9	0.1	0.098431	0.2	80	65.4	9.1	500	3.5	8.61	0.003304	0.00011431	0.00344287	2	0.15	0.1	0.00109111	0.2	0.00180006	0.45	0.00101391	2	4.5	0.001	0.05145225	0.39	1	0.00056178	0.001	0.001	0.071226	0.76166283	0.09990812	9.66630067	0.1	0.01	0.01	0.01	1e-05	0.01	0.00381253	0.05	0.5	1e-04	100	5e-06	0.001
0.425	0.9	0.1	0.098431	0.2	80	65.4	9.1	500	3.5	8.61	0.003304	0.00011431	0.00344287	2	0.15	0.1	0.00109111	0.2	0.00180006	0.45	0.00101391	2	4.5	0.001	0.05145225	0.39	1	0.00056178	0.001	0.001	0.071226	0.76166283	0.09990812	9.66630067	0.1	0.01	0.01	0.01	1e-05	0.01	0.00381253	0.05	0.5	1e-04	100	5e-06	0.001
