MMDDHH SIN_mg.cm3.h STP_oC SWC SWP_MPa pH
010101 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010102 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010103 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010104 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010105 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010106 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010107 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010108 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010109 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010110 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010111 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010112 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010113 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010114 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010115 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010116 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010117 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010118 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010119 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010120 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010121 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010122 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010123 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010124 1.06e-05 4.6705 0.28325 -0.14404755 7.34
010201 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010202 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010203 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010204 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010205 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010206 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010207 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010208 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010209 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010210 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010211 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010212 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010213 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010214 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010215 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010216 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010217 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010218 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010219 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010220 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010221 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010222 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010223 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010224 1.06e-05 4.6475 0.2833 -0.1439504 7.34
010301 1.06e-05 4.228 0.2829 -0.1442855 7.34
010302 1.06e-05 4.228 0.2829 -0.1442855 7.34
010303 1.06e-05 4.228 0.2829 -0.1442855 7.34
010304 1.06e-05 4.228 0.2829 -0.1442855 7.34
010305 1.06e-05 4.228 0.2829 -0.1442855 7.34
010306 1.06e-05 4.228 0.2829 -0.1442855 7.34
010307 1.06e-05 4.228 0.2829 -0.1442855 7.34
010308 1.06e-05 4.228 0.2829 -0.1442855 7.34
010309 1.06e-05 4.228 0.2829 -0.1442855 7.34
010310 1.06e-05 4.228 0.2829 -0.1442855 7.34
010311 1.06e-05 4.228 0.2829 -0.1442855 7.34
010312 1.06e-05 4.228 0.2829 -0.1442855 7.34
010313 1.06e-05 4.228 0.2829 -0.1442855 7.34
010314 1.06e-05 4.228 0.2829 -0.1442855 7.34
