OBJ_Critical= 0.1 1
fOBJ	LF0	r0	fRa	fINP	VP	KP1	fKM	PAR2	Qmax	Kba	Kdes	rE	pEP	fpEM	fD	gD	Vg	alpha	KD	Yg	Ygsl	Q10	gamma	beta	WPA2D	tau	wdorm	VNup_MB	KsNH4_MB	KsNO3_MB	VNif	VNit	VDenit1	fpENZN	KsNif	KsNit	KsDenit1	KsDenit2	VNup_VG	KsNH4_VG	KsNO3_VG	rNleach	bNup_VG	Qmax_NH4	Kba_NH4	Kp2u	Ku2p
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	1e-04	0.001	2	0.15	0.1	0.001	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	0.000133	0.001	2	0.15	0.1	0.001	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	0.0001666	0.001	2	0.15	0.1	0.001	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	2e-04	0.001	2	0.15	0.1	0.001	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	1e-04	0.001	2	0.15	0.1	0.002	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	0.000133	0.001	2	0.15	0.1	0.002	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	0.0001666	0.001	2	0.15	0.1	0.002	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	2e-04	0.001	2	0.15	0.1	0.002	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	1e-04	0.001	2	0.15	0.1	0.003	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	0.000133	0.001	2	0.15	0.1	0.003	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	0.0001666	0.001	2	0.15	0.1	0.003	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	2e-04	0.001	2	0.15	0.1	0.003	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	1e-04	0.001	2	0.15	0.1	0.004	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	0.000133	0.001	2	0.15	0.1	0.004	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	0.0001666	0.001	2	0.15	0.1	0.004	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
0.5	0.9	0.1	0.1838	0.4	80	65.4	9.1	500	3.5	8.61	0.003304	2e-04	0.001	2	0.15	0.1	0.004	0.2	0.00203704	0.45	0.01563505	2	4.5	0.001	0.50277449	0.39	1	0.00075968	0.001	0.001	0.09715379	15.17346018	0.0988772	9.97907547	0.1	0.01	0.01	0.01	1e-05	0.01	0.00090865	0.05	0.5	1e-04	100	5e-06	0.001
