ndata= 216
Date	Rsoil_1m_mgC/cm3/h
20020110	2.3098e-05
20020212	2.9759e-05
20020227	2.4361e-05
20020306	3.0633e-05
20020402	2.9780e-05
20020416	6.0904e-05
20020508	8.9790e-05
20020521	1.0548e-04
20020611	1.6070e-04
20020624	1.3569e-04
20020719	1.1626e-04
20020725	1.1409e-04
20020727	7.6239e-05
20020731	1.3808e-04
20020816	1.4966e-04
20020823	1.0025e-04
20020906	7.9694e-05
20020925	7.7822e-05
20021016	5.4206e-05
20021108	4.1920e-05
20021120	2.1697e-05
20021212	3.1372e-05
20021220	3.6958e-05
20030214	2.6801e-05
20030312	3.7092e-05
20030411	5.2272e-05
20030523	1.3997e-04
20030618	1.3798e-04
20030711	1.1722e-04
20030815	1.0706e-04
20030926	1.2193e-04
20031024	6.6506e-05
20031122	3.8111e-05
20031225	1.4394e-05
20040129	1.1854e-05
20040210	1.7686e-05
20040312	3.0033e-05
20040402	5.0746e-05
20040509	9.2304e-05
20040615	1.4609e-04
20040716	1.1038e-04
20040825	1.2996e-04
20040917	1.2262e-04
20041020	5.7679e-05
20041203	1.6819e-05
20041229	2.0071e-05
20050126	2.1226e-05
20050221	2.5574e-05
20050415	4.0833e-05
20050428	4.8108e-05
20050528	1.1416e-04
20050621	1.1578e-04
20050708	1.7686e-04
20050802	1.1388e-04
20050825	1.5975e-04
20050924	1.1915e-04
20051026	4.4686e-05
20051121	2.5082e-05
20051230	1.3468e-05
20060130	2.3508e-05
20060224	2.2788e-05
20060328	2.6726e-05
20060427	4.5986e-05
20060516	6.5048e-05
20060530	1.1802e-04
20060626	1.3582e-04
20060717	9.4867e-05
20060801	8.5164e-05
20060908	8.5536e-05
20061008	8.9863e-05
20061111	3.4200e-05
20061223	1.3487e-05
20070118	1.7100e-05
20070224	2.2788e-05
20070307	2.4638e-05
20070412	4.0730e-05
20070429	8.1144e-05
20070529	1.0308e-04
20070621	1.7647e-04
20070717	1.5530e-04
20070825	1.3903e-04
20071005	9.4680e-05
20071031	3.6677e-05
20071219	1.6150e-05
20080118	1.7100e-05
20080301	1.9008e-05
20080331	6.4512e-05
20080430	4.4950e-05
20080603	1.5098e-04
20080623	1.6452e-04
20080718	1.7053e-04
20080821	1.0094e-04
20080926	5.7816e-05
20081030	2.1895e-05
20081130	1.1110e-05
20081230	1.1110e-05
20090324	2.6604e-05
20090508	6.7176e-05
20090528	9.4032e-05
20090625	1.3090e-04
20090714	1.1887e-04
20090813	1.1146e-04
20090829	9.6480e-05
20091028	3.6144e-05
20100217	1.0476e-05
20100318	2.5344e-05
20100427	6.0840e-05
20100517	9.9936e-05
20100608	1.5134e-04
20100630	1.6813e-04
20100723	1.2420e-04
20100921	8.6256e-05
20101118	1.6416e-05
20101222	9.9360e-06
20110122	1.4616e-05
20110222	1.6992e-05
20110323	2.9304e-05
20110428	4.7736e-05
20110526	8.7912e-05
20110612	8.9496e-05
20110702	6.5592e-05
20110723	3.0240e-05
20110813	9.6696e-05
20110903	5.6016e-05
20110923	5.5080e-05
20111018	3.5136e-05
20111112	2.1096e-05
20111210	1.4472e-05
20120115	1.1160e-05
20120219	1.5120e-05
20120313	2.6856e-05
20120421	8.4024e-05
20120519	1.0822e-04
20120617	1.1203e-04
20120721	6.6024e-05
20120823	6.1200e-05
20120922	3.7728e-05
20121028	2.4336e-05
20121117	2.0952e-05
20121218	1.4760e-05
20130120	1.2024e-05
20130303	9.7920e-06
20130331	6.2568e-05
20130428	7.6032e-05
20130529	8.8920e-05
20130602	9.3096e-05
20130624	8.6688e-05
20130801	1.6798e-04
20130907	1.0634e-04
20131009	6.7824e-05
20131110	2.8728e-05
20131218	2.2032e-05
20140112	8.4960e-06
20140218	1.1160e-05
20140409	3.7080e-05
20140516	8.0640e-05
20140601	1.2715e-04
20140705	1.6337e-04
20141003	2.1686e-05
20141101	4.6728e-05
20150116	1.9224e-05
20150213	1.5696e-05
20150328	5.6592e-05
20150425	1.0598e-04
20150610	1.4119e-04
20150729	1.8223e-04
20150904	1.4501e-04
20151019	5.0112e-05
20151113	6.6600e-05
20151211	3.9744e-05
20160127	2.5056e-05
20160219	3.5640e-05
20160321	3.9888e-05
20160422	8.0784e-05
20160608	2.4788e-04
20160717	1.5258e-04
20160824	1.5646e-04
20160921	1.9058e-04
20161027	8.5824e-05
20161116	7.9128e-05
20161227	3.4056e-05
20170126	1.4256e-05
20170303	7.6824e-05
20170331	7.6824e-05
20170424	1.0138e-04
20170525	1.5127e-04
20170629	1.3572e-04
20170720	2.2752e-04
20170815	2.3465e-04
20170920	2.0295e-04
20171002	1.0202e-04
20171221	2.4840e-05
20180125	2.0376e-05
20180226	4.2984e-05
20180330	6.4512e-05
20180428	1.5142e-04
20180528	2.6042e-04
20180629	1.9994e-04
20180731	3.1975e-04
20180830	1.6776e-04
20181001	1.2211e-04
20181029	7.6392e-05
20181128	2.8440e-05
20190105	3.4128e-05
20190129	1.1808e-05
20190305	1.5264e-05
20190331	3.8448e-05
20190426	1.3010e-04
20190509	1.8806e-04
20190530	1.1542e-04
20190627	2.1866e-04
20190730	3.1068e-04
20190919	1.4105e-04
20191104	5.0976e-05
20191203	2.5416e-05
20191219	2.1384e-05
